# SNID:                      2024srp                  
# SPECTRUM_ID:               1
# SPECTRUM_MJD:              60529.20
# SPECTRUM_TELESCOPE:        P60
# SPECTRUM_INSTRUMENT:       SEDM
# SPECTRUM_TEXPOSE:          2700.0  
# SPECTRUM_STAT_SNR:         3.79    
# SPECTRUM_SYS_SNR:          60.05   
# SPECTRUM_VEXP:             1.827e-03
# SPECTRUM_NLAM:             214   
# SPECTRUM_INFILE:           2024srp_60529.20_SEDM.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    3776.70  9.03000e-16  1.07424e-15  4.51500e-18
    3802.30  2.40100e-16  5.16140e-16  1.20050e-18
    3827.90  6.04700e-17  4.52106e-16  8.57757e-19
    3853.40  5.97400e-16  8.87468e-16  2.98700e-18
    3879.00  5.53500e-16  8.67929e-16  2.76750e-18
    3904.60  6.48300e-16  6.79706e-16  3.24150e-18
    3930.10  5.76100e-16  7.27805e-16  2.88050e-18
    3955.70  6.01500e-16  7.84793e-16  3.00750e-18
    3981.30  4.39600e-16  5.96825e-16  2.19800e-18
    4006.80  2.97800e-16  5.53895e-16  1.48900e-18
    4032.40  4.60000e-16  4.02244e-16  2.30000e-18
    4058.00  3.66700e-16  3.70945e-16  1.83350e-18
    4083.60 -7.21600e-17  1.66283e-16  9.28915e-19
    4109.10  7.89400e-17  1.67033e-16  8.84539e-19
    4134.70  1.73500e-16  1.44049e-16  8.67500e-19
    4160.30  2.29100e-16  1.38528e-16  1.14550e-18
    4185.80  2.73000e-16  1.42021e-16  1.36500e-18
    4211.40  9.83400e-17  1.44049e-16  1.03997e-18
    4237.00  2.14700e-16  1.22434e-16  1.13734e-18
    4262.60  1.39200e-16  1.33679e-16  1.21643e-18
    4288.10  3.16300e-16  3.44964e-16  1.58150e-18
    4313.70  4.47200e-16  3.68917e-16  2.23600e-18
    4339.30  3.52800e-16  3.13736e-16  1.76400e-18
    4364.80  4.74900e-16  3.14738e-16  2.37450e-18
    4390.40  3.53500e-16  3.30303e-16  1.76750e-18
    4416.00  3.45400e-16  1.18701e-16  1.72700e-18
    4441.60  4.11900e-16  2.58979e-16  2.05950e-18
    4467.10  2.33600e-16  1.07517e-16  1.63001e-18
    4492.70  2.08100e-16  9.60677e-17  1.61563e-18
    4518.30  3.03800e-16  2.44826e-16  1.56252e-18
    4543.80  1.42000e-16  8.34266e-17  1.44229e-18
    4569.40  1.24800e-16  8.23225e-17  1.28643e-18
    4595.00  8.41200e-17  3.74166e-17  1.18990e-18
    4620.50  1.31000e-16  1.49700e-16  1.10236e-18
    4646.10  1.44700e-16  7.43034e-17  1.06162e-18
    4671.70  1.01300e-16  7.25810e-17  1.07470e-18
    4697.30  1.56400e-16  1.24940e-16  1.08658e-18
    4722.80  1.43500e-16  6.96850e-17  1.08667e-18
    4748.40  1.16000e-16  6.76461e-17  1.09785e-18
    4774.00  2.07400e-16  5.99667e-17  1.09135e-18
    4799.50  2.03000e-16  6.58331e-17  1.09144e-18
    4825.10  2.12400e-16  6.44515e-17  1.10597e-18
    4850.70  1.99200e-16  6.32297e-17  1.13651e-18
    4876.30  2.39500e-16  5.98999e-17  1.19750e-18
    4901.80  1.94900e-16  1.48694e-16  1.21733e-18
    4927.40  1.87900e-16  5.14976e-17  1.24942e-18
    4953.00  1.48200e-16  5.20384e-17  1.28632e-18
    4978.50  1.95200e-16  1.42548e-16  1.32911e-18
    5004.10  1.66600e-16  1.30461e-16  1.40574e-18
    5029.70  1.72800e-16  4.87442e-17  1.53208e-18
    5055.30  1.55800e-16  1.20789e-16  1.73124e-18
    5080.80  1.40400e-16  1.30996e-16  1.96172e-18
    5106.40  1.07000e-16  4.73286e-17  2.17182e-18
    5132.00  1.96400e-16  1.08582e-16  2.29098e-18
    5157.50  1.00800e-16  4.17493e-17  2.30668e-18
    5183.10  1.09400e-16  1.11131e-16  2.22509e-18
    5208.70  1.02700e-16  3.85876e-17  2.06521e-18
    5234.20  1.53100e-16  1.04355e-16  1.90946e-18
    5259.80  1.38300e-16  4.41362e-17  1.74232e-18
    5285.40  1.22700e-16  5.40925e-17  1.58934e-18
    5311.00  1.62900e-16  9.79183e-17  1.47439e-18
    5336.50  2.15600e-16  1.05877e-16  1.36827e-18
    5362.10  1.83400e-16  1.03779e-16  1.28632e-18
    5387.70  1.76400e-16  9.97497e-17  1.23767e-18
    5413.20  1.73100e-16  9.62653e-17  1.26807e-18
    5438.80  1.60800e-16  1.02176e-16  1.36115e-18
    5464.40  1.60500e-16  8.69713e-17  1.54111e-18
    5490.00  1.82800e-16  3.14833e-17  1.79074e-18
    5515.50  2.36500e-16  1.00499e-16  2.18537e-18
    5541.10  2.26400e-16  1.16447e-16  2.44261e-18
    5566.70  2.06800e-16  9.17115e-17  2.77356e-18
    5592.20  1.47700e-16  2.66120e-17  3.04740e-18
    5617.80  1.73400e-16  8.98443e-17  3.21773e-18
    5643.40  1.35200e-16  3.53553e-17  3.26233e-18
    5668.90  1.92300e-16  7.95299e-17  3.17736e-18
    5694.50  1.42100e-16  2.68812e-17  2.98928e-18
    5720.10  1.34500e-16  2.89810e-17  2.75117e-18
    5745.70  1.47800e-16  7.98373e-17  2.53149e-18
    5771.20  1.21200e-16  6.76905e-17  2.37280e-18
    5796.80  1.05100e-16  2.77381e-17  2.32368e-18
    5822.40  1.23700e-16  7.27530e-17  2.39326e-18
    5847.90  1.48500e-16  7.18610e-17  2.55837e-18
    5873.50  1.68900e-16  6.08605e-17  2.78265e-18
    5899.10  1.47100e-16  6.45988e-17  3.01998e-18
    5924.70  1.81200e-16  8.02870e-17  3.19692e-18
    5950.20  1.41500e-16  6.62042e-17  3.30304e-18
    5975.80  1.76100e-16  6.45213e-17  3.34207e-18
    6001.40  1.59100e-16  5.89915e-17  3.32016e-18
    6026.90  1.64800e-16  6.71342e-17  3.26834e-18
    6052.50  1.37800e-16  6.09098e-17  3.19115e-18
    6078.10  1.46500e-16  6.56430e-17  3.10404e-18
    6103.70  1.86900e-16  5.84722e-17  3.01612e-18
    6129.20  1.61200e-16  5.47357e-17  2.93186e-18
    6154.80  1.20900e-16  5.68859e-17  2.85553e-18
    6180.40  1.37500e-16  5.81464e-17  2.77951e-18
    6205.90  1.50900e-16  6.27615e-17  2.70441e-18
    6231.50  1.99500e-16  6.48074e-17  2.63788e-18
    6257.10  2.23500e-16  6.12046e-17  2.60356e-18
    6282.60  2.22400e-16  4.76130e-17  2.48715e-18
    6308.20  1.72100e-16  4.49555e-17  2.40106e-18
    6333.80  1.38100e-16  4.99700e-17  2.31293e-18
    6359.40  1.25600e-16  1.91311e-17  2.22771e-18
    6384.90  1.39500e-16  5.07445e-17  2.15769e-18
    6410.50  1.30000e-16  4.96890e-17  2.12651e-18
    6436.10  1.34800e-16  5.33667e-17  2.12546e-18
    6461.60  1.23900e-16  4.48330e-17  2.15012e-18
