# SNID:                      ZTF18aaaooqj             
# SPECTRUM_ID:               1
# SPECTRUM_MJD:              60700.31
# SPECTRUM_TELESCOPE:        P60
# SPECTRUM_INSTRUMENT:       SEDM
# SPECTRUM_TEXPOSE:          2700.0  
# SPECTRUM_STAT_SNR:         8.16    
# SPECTRUM_SYS_SNR:          157.55  
# SPECTRUM_VEXP:             1.554e-03
# SPECTRUM_NLAM:             214   
# SPECTRUM_INFILE:           ZTF18aaaooqj_60700.31_SEDM.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    3776.70  1.39200e-16  1.76494e-16  6.96000e-19
    3802.30 -3.38300e-16  3.02771e-16  8.10389e-20
    3827.90  8.00500e-17  1.58997e-16  4.00250e-19
    3853.40  1.08300e-16  2.82772e-16  5.41500e-19
    3879.00 -1.47500e-16  2.87158e-16  1.07832e-19
    3904.60  4.08700e-16  3.30454e-16  2.04350e-18
    3930.10  4.70800e-17  1.11580e-16  2.35400e-19
    3955.70  2.58600e-16  9.87320e-17  1.29300e-18
    3981.30  5.08500e-17  1.12339e-16  2.54250e-19
    4006.80  2.14300e-16  2.26517e-16  1.07150e-18
    4032.40  2.46300e-16  2.38118e-16  1.23150e-18
    4058.00  2.94700e-16  1.87243e-16  1.47350e-18
    4083.60  2.13300e-16  1.84526e-16  1.06650e-18
    4109.10  4.62800e-16  1.24419e-16  2.31400e-18
    4134.70  1.99300e-16  6.32456e-17  9.96500e-19
    4160.30  3.46800e-16  1.56109e-16  1.73400e-18
    4185.80  1.83200e-16  1.59781e-16  9.16000e-19
    4211.40  2.33700e-16  6.18789e-17  1.16850e-18
    4237.00  4.70900e-16  1.42302e-16  2.35450e-18
    4262.60  1.79100e-16  5.94559e-17  8.95500e-19
    4288.10  2.34300e-16  5.03587e-17  1.17150e-18
    4313.70  1.48900e-16  5.11566e-17  7.44500e-19
    4339.30  2.51300e-16  1.07051e-16  1.25650e-18
    4364.80  1.96400e-16  4.67119e-17  9.82000e-19
    4390.40  1.88700e-16  4.45870e-17  9.43500e-19
    4416.00  2.65000e-16  1.19080e-16  1.32500e-18
    4441.60  2.08700e-16  4.03856e-17  1.04350e-18
    4467.10  3.04600e-16  1.06583e-16  1.52300e-18
    4492.70  1.84100e-16  4.36005e-17  9.20500e-19
    4518.30  2.37600e-16  4.73709e-17  1.18800e-18
    4543.80  1.63000e-16  1.06113e-16  8.15000e-19
    4569.40  2.36600e-16  3.47707e-17  1.18300e-18
    4595.00  1.43200e-16  3.78286e-17  7.16000e-19
    4620.50  2.47500e-16  9.29462e-17  1.23750e-18
    4646.10  2.25300e-16  8.27164e-17  1.12650e-18
    4671.70  1.60600e-16  3.24345e-17  8.03000e-19
    4697.30  1.64100e-16  3.61248e-17  8.20500e-19
    4722.80  1.91500e-16  3.57491e-17  9.57500e-19
    4748.40  1.96200e-16  7.02211e-17  9.81000e-19
    4774.00  1.73100e-16  6.57723e-17  8.65500e-19
    4799.50  2.06400e-16  6.18951e-17  1.03200e-18
    4825.10  2.32300e-16  6.89420e-17  1.16150e-18
    4850.70  2.02000e-16  6.72607e-17  1.01000e-18
    4876.30  2.22600e-16  2.59904e-17  1.11300e-18
    4901.80  1.82300e-16  2.68626e-17  9.11500e-19
    4927.40  2.28200e-16  6.47688e-17  1.14100e-18
    4953.00  2.10600e-16  6.15224e-17  1.05300e-18
    4978.50  1.91800e-16  7.27874e-17  9.59000e-19
    5004.10  1.90800e-16  5.98999e-17  9.54000e-19
    5029.70  2.07900e-16  5.76021e-17  1.03950e-18
    5055.30  1.75700e-16  6.01581e-17  8.78500e-19
    5080.80  2.41800e-16  6.51613e-17  1.20900e-18
    5106.40  1.55900e-16  2.32702e-17  7.79500e-19
    5132.00  1.36400e-16  1.88122e-17  6.82000e-19
    5157.50  1.33200e-16  2.20363e-17  6.66000e-19
    5183.10  1.87200e-16  5.06162e-17  9.36000e-19
    5208.70  1.83400e-16  5.64978e-17  9.17000e-19
    5234.20  1.55800e-16  1.94088e-17  7.79000e-19
    5259.80  2.27100e-16  5.36843e-17  1.13550e-18
    5285.40  1.72500e-16  1.89367e-17  9.35243e-19
    5311.00  1.42000e-16  1.82839e-17  1.01822e-18
    5336.50  2.17400e-16  5.24214e-17  1.08700e-18
    5362.10  1.76800e-16  1.94242e-17  1.12325e-18
    5387.70  2.61500e-16  4.43847e-17  1.30750e-18
    5413.20  2.00900e-16  4.55961e-17  1.11358e-18
    5438.80  1.39100e-16  4.10731e-17  1.06419e-18
    5464.40  2.10000e-16  4.33128e-17  1.05000e-18
    5490.00  1.61500e-16  4.75184e-17  9.39039e-19
    5515.50  1.50500e-16  3.95727e-17  8.77542e-19
    5541.10  1.45900e-16  1.95576e-17  8.25694e-19
    5566.70  1.97500e-16  5.16333e-17  9.87500e-19
    5592.20  2.16000e-16  5.57853e-17  1.08000e-18
    5617.80  1.67500e-16  1.76748e-17  8.37500e-19
    5643.40  1.83300e-16  4.01373e-17  9.16500e-19
    5668.90  1.78500e-16  3.61386e-17  8.92500e-19
    5694.50  1.64600e-16  1.54402e-17  8.23000e-19
    5720.10  1.36900e-16  3.67967e-17  8.58665e-19
    5745.70  1.73200e-16  3.53977e-17  9.22197e-19
    5771.20  1.70000e-16  3.63456e-17  9.83924e-19
    5796.80  1.63100e-16  3.75100e-17  1.03255e-18
    5822.40  2.43200e-16  3.81051e-17  1.21600e-18
    5847.90  2.03200e-16  3.63456e-17  1.09556e-18
    5873.50  1.79900e-16  3.60832e-17  1.10360e-18
    5899.10  1.71400e-16  3.31662e-17  1.11957e-18
    5924.70  1.80400e-16  3.76298e-17  1.14394e-18
    5950.20  1.67600e-16  3.48281e-17  1.17789e-18
    5975.80  2.21100e-16  3.33766e-17  1.22124e-18
    6001.40  1.83200e-16  3.13624e-17  1.26820e-18
    6026.90  1.53300e-16  3.31512e-17  1.31823e-18
    6052.50  1.59100e-16  3.37046e-17  1.37033e-18
    6078.10  1.39200e-16  1.04690e-17  1.41789e-18
    6103.70  1.78100e-16  2.98396e-17  1.46184e-18
    6129.20  1.57800e-16  2.81460e-17  1.49607e-18
    6154.80  1.67600e-16  2.82365e-17  1.51472e-18
    6180.40  2.17000e-16  2.96007e-17  1.53024e-18
    6205.90  1.79500e-16  2.81283e-17  1.52541e-18
    6231.50  1.63200e-16  2.83443e-17  1.52379e-18
    6257.10  1.88600e-16  3.12298e-17  1.50507e-18
    6282.60  2.04800e-16  2.91153e-17  1.47737e-18
    6308.20  1.67400e-16  2.52032e-17  1.44006e-18
    6333.80  1.59400e-16  2.56807e-17  1.38389e-18
    6359.40  1.94600e-16  2.69147e-17  1.31055e-18
    6384.90  1.61100e-16  2.72323e-17  1.22248e-18
    6410.50  1.17800e-16  2.31646e-17  1.12897e-18
    6436.10  9.60800e-17  9.22930e-18  1.03278e-18
    6461.60  1.06300e-16  1.00449e-17  9.52156e-19
    6487.20  1.22900e-16  2.42466e-17  8.95758e-19
    6512.80  1.48300e-16  2.40250e-17  8.64151e-19
    6538.40  1.64200e-16  2.42033e-17  8.72739e-19
    6563.90  1.70000e-16  2.22194e-17  9.18819e-19
    6589.50  1.60600e-16  2.48214e-17  1.00560e-18
    6615.10  1.79500e-16  2.58070e-17  1.20175e-18
    6640.60  1.93900e-16  2.36960e-17  1.27364e-18
    6666.20  1.90200e-16  2.17117e-17  1.42757e-18
    6691.80  1.86600e-16  2.21269e-17  1.59361e-18
    6717.40  1.70400e-16  2.11518e-17  1.70785e-18
    6742.90  2.12300e-16  1.97813e-17  1.80895e-18
    6768.50  1.69800e-16  1.84797e-17  1.86769e-18
    6794.10  1.66300e-16  2.03789e-17  1.90746e-18
    6819.60  1.78300e-16  1.80831e-17  1.88967e-18
    6845.20  2.05900e-16  2.21517e-17  1.86607e-18
    6870.80  2.52700e-16  2.70980e-17  1.83293e-18
    6896.30  2.65300e-16  2.37424e-17  1.79056e-18
    6921.90  2.24100e-16  1.95729e-17  1.74132e-18
    6947.50  1.88100e-16  1.94525e-17  1.69498e-18
    6973.10  1.73100e-16  1.66102e-17  1.65144e-18
    6998.60  1.91200e-16  1.70118e-17  1.60326e-18
    7024.20  1.95600e-16  1.74557e-17  1.55536e-18
    7049.80  1.77700e-16  1.69440e-17  1.50806e-18
    7075.30  1.86900e-16  1.86494e-17  1.45839e-18
    7100.90  2.03000e-16  1.86172e-17  1.41114e-18
    7126.50  1.82200e-16  1.74585e-17  1.36852e-18
    7152.10  1.54700e-16  1.68226e-17  1.33296e-18
    7177.60  1.54600e-16  1.74786e-17  1.34259e-18
    7203.20  1.63000e-16  1.62358e-17  1.29105e-18
    7228.80  1.69000e-16  1.73666e-17  1.28914e-18
    7254.30  1.80100e-16  1.83358e-17  1.28996e-18
    7279.90  1.59700e-16  1.76295e-17  1.29116e-18
    7305.50  1.46900e-16  1.66733e-17  1.30048e-18
    7331.10  1.59100e-16  1.75841e-17  1.29949e-18
    7356.60  1.49000e-16  1.63310e-17  1.27497e-18
    7382.20  1.48400e-16  1.63585e-17  1.24518e-18
    7407.80  1.46900e-16  1.43597e-17  1.21745e-18
    7433.30  1.28900e-16  1.24378e-17  1.16386e-18
    7458.90  1.42900e-16  1.26649e-17  1.10273e-18
    7484.50  1.54400e-16  1.35794e-17  1.03902e-18
    7510.00  1.46500e-16  1.37877e-17  9.75490e-19
    7535.60  1.44000e-16  1.27004e-17  9.08845e-19
    7561.20  1.49000e-16  1.42127e-17  8.47118e-19
    7586.80  1.46200e-16  1.67839e-17  7.99207e-19
    7612.30  1.41500e-16  1.73061e-17  8.09187e-19
    7637.90  1.42200e-16  2.09952e-17  7.48453e-19
    7663.50  1.40000e-16  1.70704e-17  7.33733e-19
    7689.00  1.47900e-16  1.45671e-17  7.60560e-19
    7714.60  1.57600e-16  1.51756e-17  7.88000e-19
    7740.20  1.50500e-16  1.34276e-17  7.96085e-19
    7765.80  1.42800e-16  1.50864e-17  7.93659e-19
    7791.30  1.46400e-16  1.31871e-17  8.06206e-19
    7816.90  1.48000e-16  1.38924e-17  8.45852e-19
    7842.50  1.48600e-16  1.40428e-17  8.64813e-19
    7868.00  1.38000e-16  1.52020e-17  8.80574e-19
    7893.60  1.22900e-16  1.38852e-17  8.96226e-19
    7919.20  1.30700e-16  1.60250e-17  9.09633e-19
    7944.70  1.42400e-16  1.39642e-17  9.15683e-19
