# SNID:                      ZTF18aaaooqj             
# SPECTRUM_ID:               2
# SPECTRUM_MJD:              60709.04
# SPECTRUM_TELESCOPE:        LT
# SPECTRUM_INSTRUMENT:       SPRAT
# SPECTRUM_TEXPOSE:          1200.0  
# SPECTRUM_STAT_SNR:         1.90    
# SPECTRUM_SYS_SNR:          11.44   
# SPECTRUM_VEXP:             4.027e-03
# SPECTRUM_NLAM:             891   
# SPECTRUM_OBSERVERS:        Daniel Perley, Jacob Wise, K-Ryan Hinds, Aleksandra Bochenek, Zoe McGrath
# SPECTRUM_INFILE:           ZTF18aaaooqj_60709.04_SPRAT.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    3953.27 -1.02898e+00  4.33939e+00  6.93998e-01
    3957.50  8.94170e-01  4.66317e+00  6.83498e-01
    3961.73  5.49730e-01  2.87333e+00  6.72969e-01
    3965.96  1.56227e+00  2.23666e+00  6.62425e-01
    3970.19  5.87810e-01  2.57234e+00  6.51886e-01
    3974.43 -6.72890e-01  2.98036e+00  6.41369e-01
    3978.67 -1.54900e-01  3.24794e+00  6.30898e-01
    3982.91  1.27140e-01  3.00067e+00  6.20493e-01
    3987.15 -1.15710e-01  2.38990e+00  6.10179e-01
    3991.39  4.74200e-01  2.09507e+00  5.99983e-01
    3995.64 -5.49410e-01  2.56015e+00  5.89929e-01
    3999.88  7.01630e-01  1.87772e+00  5.80045e-01
    4004.13  6.79620e-01  2.03578e+00  5.70360e-01
    4008.38  8.42700e-02  2.10704e+00  5.60899e-01
    4012.63  7.09430e-01  2.22643e+00  5.51692e-01
    4016.89 -2.91650e-01  1.90571e+00  5.42763e-01
    4021.14 -8.00220e-01  1.75013e+00  5.34138e-01
    4025.40 -1.42520e-01  1.72850e+00  5.25841e-01
    4029.66  1.91300e-02  1.68041e+00  5.17891e-01
    4033.92 -3.58930e-01  1.44869e+00  5.10308e-01
    4038.19 -5.62860e-01  1.76516e+00  5.03104e-01
    4042.45 -6.84200e-02  1.76842e+00  4.96291e-01
    4046.72  1.40640e-01  1.32417e+00  4.89876e-01
    4050.99  6.35740e-01  1.27520e+00  4.83859e-01
    4055.26  2.00150e-01  1.33616e+00  4.78239e-01
    4059.53  8.07110e-01  1.25335e+00  4.73007e-01
    4063.80  2.48910e-01  1.22622e+00  4.68151e-01
    4068.08  3.98640e-01  1.51534e+00  4.63655e-01
    4072.36  5.14440e-01  1.14033e+00  4.59496e-01
    4076.64  1.11584e+00  1.27013e+00  4.55648e-01
    4080.92  3.77010e-01  1.13865e+00  4.52084e-01
    4085.20  3.78870e-01  1.42811e+00  4.48770e-01
    4089.49  1.09300e-02  1.15123e+00  4.45672e-01
    4093.77  4.75940e-01  1.19459e+00  4.42755e-01
    4098.06  4.91460e-01  1.35411e+00  4.39981e-01
    4102.35  1.14505e+00  1.00016e+00  4.37313e-01
    4106.64  1.28171e+00  1.26103e+00  4.34715e-01
    4110.94  4.76400e-01  1.57607e+00  4.32152e-01
    4115.23  3.57460e-01  1.27982e+00  4.29590e-01
    4119.53  4.66420e-01  1.02802e+00  4.26999e-01
    4123.83  1.32260e+00  1.01902e+00  4.24351e-01
    4128.13  1.18934e+00  1.03690e+00  4.21621e-01
    4132.43  1.33954e+00  7.69330e-01  4.18789e-01
    4136.74  7.76780e-01  1.01489e+00  4.15838e-01
    4141.04  1.35352e+00  9.98890e-01  4.12753e-01
    4145.35  9.57090e-01  1.02759e+00  4.09527e-01
    4149.66 -8.76000e-03  1.30434e+00  4.06152e-01
    4153.97  7.93520e-01  1.12813e+00  4.02626e-01
    4158.28  7.84680e-01  1.05638e+00  3.98950e-01
    4162.60  1.12385e+00  8.57820e-01  3.95127e-01
    4166.92  1.14637e+00  1.00473e+00  3.91163e-01
    4171.23  4.16640e-01  1.29734e+00  3.87067e-01
    4175.55  1.07265e+00  1.02288e+00  3.82846e-01
    4179.87  8.68460e-01  1.03536e+00  3.78513e-01
    4184.20  6.07770e-01  1.04929e+00  3.74079e-01
    4188.52  1.18954e+00  6.80340e-01  3.69557e-01
    4192.85  6.23190e-01  8.73890e-01  3.64958e-01
    4197.18  4.51320e-01  9.63170e-01  3.60296e-01
    4201.51  1.14806e+00  8.81300e-01  3.55584e-01
    4205.84  5.30010e-01  9.67520e-01  3.51734e-01
    4210.17  5.83560e-01  9.84210e-01  3.46924e-01
    4214.51  6.76330e-01  8.33020e-01  3.41873e-01
    4218.85  2.63540e-01  8.08820e-01  3.36437e-01
    4223.18  9.83980e-01  7.48760e-01  3.31459e-01
    4227.52  9.70480e-01  7.13250e-01  3.27096e-01
    4231.87  8.98180e-01  7.64870e-01  3.22641e-01
    4236.21  5.29890e-01  7.09440e-01  3.18128e-01
