# SNID:                      ZTF18aabstmw             
# SPECTRUM_ID:               1
# SPECTRUM_MJD:              58184.00
# SPECTRUM_TELESCOPE:        P60
# SPECTRUM_INSTRUMENT:       SEDM
# SPECTRUM_TEXPOSE:          1800.0  
# SPECTRUM_STAT_SNR:         -9.00   
# SPECTRUM_SYS_SNR:          200.00  
# SPECTRUM_VEXP:             1.534e-03
# SPECTRUM_NLAM:             208   
# SPECTRUM_INFILE:           ZTF18aabstmw_58184.00_SEDM.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    3811.00  9.00880e-17 -9.90000e+01  7.83853e-18
    3826.00 -4.30170e-17 -9.90000e+01  7.66796e-18
    3841.00  6.92280e-17 -9.90000e+01  7.47667e-18
    3855.90  2.74970e-16 -9.90000e+01  7.27370e-18
    3870.80  3.07300e-16 -9.90000e+01  7.06788e-18
    3885.70  2.03810e-16 -9.90000e+01  6.86979e-18
    3900.60  1.61870e-16 -9.90000e+01  6.68724e-18
    3915.50  2.76590e-16 -9.90000e+01  6.52122e-18
    3930.30  2.90170e-16 -9.90000e+01  6.36413e-18
    3945.20  3.42700e-16 -9.90000e+01  6.19570e-18
    3960.10  2.96510e-16 -9.90000e+01  5.99308e-18
    3974.90  3.49700e-16 -9.90000e+01  5.73563e-18
    3989.80  4.95520e-16 -9.90000e+01  5.40626e-18
    4004.60  4.17560e-16 -9.90000e+01  5.00994e-18
    4019.50  3.70140e-16 -9.90000e+01  4.55723e-18
    4034.40  3.95150e-16 -9.90000e+01  4.07890e-18
    4049.20  3.90250e-16 -9.90000e+01  3.61249e-18
    4064.10  3.27290e-16 -9.90000e+01  3.18522e-18
    4079.00  2.79820e-16 -9.90000e+01  2.82754e-18
    4093.90  2.61300e-16 -9.90000e+01  2.56675e-18
    4108.90  2.22500e-16 -9.90000e+01  2.38070e-18
    4123.80  1.87860e-16 -9.90000e+01  2.30347e-18
    4138.80  1.59410e-16 -9.90000e+01  2.31058e-18
    4153.80  1.92960e-16 -9.90000e+01  2.38833e-18
    4168.80  2.14020e-16 -9.90000e+01  2.53495e-18
    4183.80  2.52780e-16 -9.90000e+01  2.72543e-18
    4198.90  2.43200e-16 -9.90000e+01  2.93893e-18
    4214.00  2.05370e-16 -9.90000e+01  3.16030e-18
    4229.20  1.75470e-16 -9.90000e+01  3.36052e-18
    4244.30  1.54880e-16 -9.90000e+01  3.51189e-18
    4259.50  2.27220e-16 -9.90000e+01  3.61742e-18
    4274.80  1.77430e-16 -9.90000e+01  3.64242e-18
    4290.10  1.57900e-16 -9.90000e+01  3.60836e-18
    4305.40  1.83180e-16 -9.90000e+01  3.52185e-18
    4320.80  1.58850e-16 -9.90000e+01  3.40016e-18
    4336.20  1.51450e-16 -9.90000e+01  3.26702e-18
    4351.70  1.86990e-16 -9.90000e+01  3.13946e-18
    4367.20  2.04850e-16 -9.90000e+01  3.02159e-18
    4382.80  1.62570e-16 -9.90000e+01  2.91721e-18
    4398.40  1.37090e-16 -9.90000e+01  2.83174e-18
    4414.10  1.53130e-16 -9.90000e+01  2.77069e-18
    4429.80  1.48750e-16 -9.90000e+01  2.71443e-18
    4445.60  1.30640e-16 -9.90000e+01  2.65185e-18
    4461.50  1.70070e-16 -9.90000e+01  2.58779e-18
    4477.40  1.85540e-16 -9.90000e+01  2.50779e-18
    4493.40  2.54810e-16 -9.90000e+01  2.41415e-18
    4509.50  3.05400e-16 -9.90000e+01  2.32116e-18
    4525.60  2.97130e-16 -9.90000e+01  2.22426e-18
    4541.80  2.89810e-16 -9.90000e+01  2.12895e-18
    4558.10  3.00970e-16 -9.90000e+01  2.04500e-18
    4574.50  3.14260e-16 -9.90000e+01  1.98503e-18
    4590.90  3.48360e-16 -9.90000e+01  1.94416e-18
    4607.40  3.29970e-16 -9.90000e+01  1.92290e-18
    4624.00  3.37530e-16 -9.90000e+01  1.91790e-18
    4640.70  3.30530e-16 -9.90000e+01  1.92745e-18
    4657.40  3.27700e-16 -9.90000e+01  1.94803e-18
    4674.30  3.52380e-16 -9.90000e+01  1.97665e-18
    4691.20  3.41070e-16 -9.90000e+01  2.01122e-18
    4708.30  2.99900e-16 -9.90000e+01  2.04911e-18
    4725.40  2.93160e-16 -9.90000e+01  2.09344e-18
    4742.60  2.97740e-16 -9.90000e+01  2.13691e-18
    4759.90  3.29490e-16 -9.90000e+01  2.18909e-18
    4777.30  3.11890e-16 -9.90000e+01  2.24626e-18
    4794.80  3.21020e-16 -9.90000e+01  2.31183e-18
    4812.40  3.09460e-16 -9.90000e+01  2.38250e-18
    4830.10  2.67600e-16 -9.90000e+01  2.45907e-18
    4848.00  2.73340e-16 -9.90000e+01  2.53349e-18
    4865.90  2.82990e-16 -9.90000e+01  2.59394e-18
    4883.90  2.53560e-16 -9.90000e+01  2.63501e-18
    4902.10  2.91350e-16 -9.90000e+01  2.64408e-18
